Generation,Best_Reward,Avg_Time_s,Perfect_Trials
1,67.23074,1.446,0
2,102.50795,2.224,0
3,140.32314,3.052,0
4,1695.1814,35.508,0
5,3624.7056,75.566,6
6,4799.9756,100.0,10
7,4564.6147,95.11,9
8,4797.382,100.0,10
9,4803.839,100.0,10
10,4807.493,100.0,10
11,4796.8403,100.0,10
12,4803.995,100.0,10
13,4808.4995,100.0,10
14,4801.8833,100.0,10
15,4806.651,100.0,10
16,4749.663,98.864,8
17,4801.5786,100.0,10
18,4801.6494,100.0,10
19,4812.13,100.0,10
20,4798.865,100.0,10
21,4797.863,100.0,10
22,4800.9736,100.0,10
23,4804.505,100.0,10
24,4804.4565,100.0,10
25,4806.2666,100.0,10
26,4698.9663,97.96600000000001,7
27,4806.1514,100.0,10
28,4684.458,97.628,9
29,4802.958,100.0,10
30,4803.3115,100.0,10
31,4806.1235,100.0,10
32,4806.6797,100.0,10
33,4803.8335,100.0,10
34,4806.5244,100.0,10
35,4809.917,100.0,10
36,4807.8076,100.0,10
37,4802.9326,99.95200000000001,9
38,4792.6797,99.912,9
39,4812.381,100.0,10
40,4802.2295,100.0,10
41,4804.445,100.0,10
42,4797.0254,100.0,10
43,4808.702,100.0,10
44,4805.314,100.0,10
45,4806.099,100.0,10
46,4803.513,100.0,10
47,4803.0522,100.0,10
48,4805.8496,100.0,10
49,4805.3115,100.0,10
50,4806.894,100.0,10
51,4805.6895,100.0,10
52,4807.4395,100.0,10
53,4803.8936,100.0,10
54,4803.686,100.0,10
55,4807.1196,100.0,10
56,4802.743,100.0,10
57,4790.571,99.774,9
58,4803.301,100.0,10
59,4803.473,100.0,10
60,4806.958,100.0,10
61,4806.395,100.0,10
62,4799.8203,100.0,10
63,4801.9727,100.0,10
64,4807.5923,100.0,10
65,4804.72,100.0,10
66,4805.201,100.0,10
